"rep","parameter","value","sil_anchor","elapsed","error"
22,"gamma_y",0.5,0.731851350612624,0.645,""
22,"gamma_y",1,0.731852670387256,0.789999999999999,""
22,"gamma_y",2,0.731852909173777,0.662000000000001,""
22,"gamma_y",5,0.731852926759346,0.642000000000001,""
22,"gamma_y",10,0.731852925043762,0.638999999999999,""
22,"gamma_y",20,0.731852931385383,0.631,""
22,"k_nn",3,0.752186210992878,0.504000000000001,""
22,"k_nn",5,0.765088639312944,0.655000000000001,""
22,"k_nn",10,0.731852670387256,0.670999999999999,""
22,"k_nn",15,0.707725991454884,0.634999999999998,""
22,"k_nn",25,0.699641770080522,0.515000000000001,""
22,"k_nn",50,0.74212786472416,0.566000000000003,""
23,"lambda",1e-04,0.781547258277461,0.827,""
23,"lambda",0.001,0.781544478037816,0.694,""
23,"lambda",0.005,0.781531772427598,0.679,""
23,"lambda",0.01,0.781515198514083,0.672,""
23,"lambda",0.05,0.781361256156177,0.663,""
23,"lambda",0.1,0.781127039179984,0.661,""
23,"lambda",0.5,0.778305327300447,0.651999999999999,""
23,"lambda",1,0.773552760396002,0.664999999999999,""
23,"gamma_y",0,-0.107149234708161,0.646000000000001,""
23,"gamma_y",0.1,0.78145366518142,0.658999999999999,""
23,"gamma_y",0.5,0.781513789884844,0.664,""
23,"gamma_y",1,0.781515198514083,0.802,""
23,"gamma_y",2,0.78151524747635,0.683,""
23,"gamma_y",5,0.781515030444481,0.677000000000001,""
23,"gamma_y",10,0.781514901558797,0.686,""
23,"gamma_y",20,0.781514818484781,0.677999999999999,""
23,"k_nn",3,0.732542508101389,0.491,""
23,"k_nn",5,0.699490806270627,0.634999999999998,""
23,"k_nn",10,0.781515198514083,0.636000000000003,""
23,"k_nn",15,0.810759011855108,0.631999999999998,""
23,"k_nn",25,0.83706172727902,0.620000000000001,""
23,"k_nn",50,0.882198068250383,0.551000000000002,""
24,"lambda",1e-04,0.901418819234206,0.813,""
24,"lambda",0.001,0.901417986463253,0.711,""
24,"lambda",0.005,0.901413111119612,0.818,""
24,"lambda",0.01,0.901404859058939,0.665,""
24,"lambda",0.05,0.901278156649106,0.666,""
24,"lambda",0.1,0.901014093683907,0.662999999999999,""
24,"lambda",0.5,0.897035427741188,0.656000000000001,""
24,"lambda",1,0.890290913820879,0.665999999999999,""
24,"gamma_y",0,-0.12895791534191,0.652000000000001,""
24,"gamma_y",0.1,0.901182301310196,0.664,""
24,"gamma_y",0.5,0.901394538591671,0.657999999999999,""
24,"gamma_y",1,0.901404859058939,0.675000000000001,""
24,"gamma_y",2,0.901408116726302,0.683,""
